file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0095_1124794_to_1127511,མགོན་པོ་གང་ལབ་ཡིན། ཨ་ཨ་ལས། འདི་ཨ་ཨེ་འདྲའི་བྱེད་ནས།  ,mgon po gang lab yin/_a a las/_'di a e 'dra'i byed nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0095_1124794_to_1127511.wav,STT_CS,3,52,2.717,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0095_1124794_to_1127511.wav,འོ་དི་ག་རེ་ལབ། ང་ལ་འདི་ཨ་ཨེ་འདྲའི་བྱས་ནས།
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0096_1127562_to_1129823,འདི་ཚུར་སྟོན་གི་རཱ། ནཱམ་བར་བལྟ་ཡ་ཅིག་འདུག་ ,'di tshur ston gi rA/_nAm bar blta ya cig 'dug _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0096_1127562_to_1129823.wav,STT_CS,3,43,2.261,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0096_1127562_to_1129823.wav,འདི་འདུག་སེ་སྟེན་གི་རཱ། ནཱམ་བྷར་ལྟ་ཡ་ཅིག་འདུག
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0097_1147474_to_1150917,ཟླ་གྲགས་སླེབ་ཡ་མི་འདུག ཟླ་གྲགས་སླེབ་མི་འདུག་གས། འོ། ཟླ་གྲགས་དང་འོད་ཟེར།  ,zla grags sleb ya mi 'dug_zla grags sleb mi 'dug gas/_'o/_zla grags dang 'od zer/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0097_1147474_to_1150917.wav,STT_CS,3,73,3.443,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0097_1147474_to_1150917.wav,ཟླ་གྲ་ླེབ།ཟླ་ླེབས་མི་འདུག་གེ། ཟླ་གྲ་།
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0098_1152233_to_1154410,ཟླ་གྲགས་དང་འོད་ཟེར་སླེབས་མིན་འདུག་གས། འོ།  ,zla grags dang 'od zer slebs min 'dug gas/_'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0098_1152233_to_1154410.wav,STT_CS,3,43,2.177,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0098_1152233_to_1154410.wav,ད ལ་ད་གྲོ་སུར་སླེབས་མི་བེ། འ།
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0099_1164687_to_1166762,ཏར་སྐུད་མི་འདུག་འདི་ཏར་སྐུད་བྱེད།  ,tar skud mi 'dug 'di tar skud byed/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0099_1164687_to_1166762.wav,STT_CS,3,35,2.075,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0099_1164687_to_1166762.wav,་་་།
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0100_1180364_to_1184751,ཨ། གཉིས་འདུག་ག་ཨེ་ནས་འདི་ཨེ་འདྲའི་འདྲ་བོ་གཉིས་འདུག་ག ཨེ་ནས་མཉམ་དུ་བྱེད་དགོས། མཁྱེན་རབ་སྐེད་པ་སྒང་དེ་བྱོས།  ,a/_gnyis 'dug ga e nas 'di e 'dra'i 'dra bo gnyis 'dug ga_e nas mnyam du byed dgos/_mkhyen rab sked pa sgang de byos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0100_1180364_to_1184751.wav,STT_CS,3,107,4.387,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0100_1180364_to_1184751.wav,ཨ། གཉིས་འདུག་ག ཨ་ནས་འདི་ཨེ་འདྲའི་འདྲ་བོ་གཉིས་འདུག་ག མཉམ་དུ། མཁྱེན་རབ་སེར་བོ་མ་ལང་འདྲའི་བྱེད།
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0101_1190775_to_1193324,ཟིང་སྐྱ་དེ་ང་ལ་སྤྲད་དགོས་རེད། སྔོན་པོ་དེ་ཁྱེད་རང་བྱོས།  ,zing skya de nga la sprad dgos red/_sngon po de khyed rang byos/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0101_1190775_to_1193324.wav,STT_CS,3,56,2.549,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0101_1190775_to_1193324.wav,སཟིང་སྐྱ་ནས་ང་ལ་སྤྲད་དགོ། རྔོན་པོ་དེ་གྱོད།
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0102_1220037_to_1222180,དང་ཤོས་བྷིརད་བཙོ་དགོས་རེད། གཉིས་པ་ཨམ་ལེཊི་བཙོ་དགོ།  ,dang shos b+hird btso dgos red/_gnyis pa am leTi btso dgo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0102_1220037_to_1222180.wav,STT_CS,3,52,2.143,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0102_1220037_to_1222180.wav,དང་ཤོས་བྷྀརའེཋྀ་བྩེ་གོ་རཱ། གཉིས་པ་དེ་ཨམ་ལའེཋྀ་དི།
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0103_1250074_to_1252200,ཨེ་འདྲའི། ཨོཾ་མ་ཎི་པདྨེ་ཧཱུ་ཧྲཱི།  ,e 'dra'i/_oM ma Ni pad+me hU hri+A/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0103_1250074_to_1252200.wav,STT_CS,3,35,2.126,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0103_1250074_to_1252200.wav,ཨེ་འདྲའི་ ཨོཾ་མ་ཎི་པདྨེ་ཧཱུྃ་ྟན།
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0104_1260942_to_1265042,པ་ལགས་ཡིས་ཕི་ཚཱ་བཟོ་ཡི་རཱ། ལགས། པ་ལགས་ཡིས་ཕི་ཚཱ་བཟོ་ཡི་རཱ།  ,pa lags yis phi tshA bzo yi rA/_lags/_pa lags yis phi tshA bzo yi rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0104_1260942_to_1265042.wav,STT_CS,3,60,4.1,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0104_1260942_to_1265042.wav,པ་ལགས་ཀྱིས་ྐི་ཚཱ་བཟོ་ཡི་རཱེ། ལགས། པ་ལགས་ཡིས་ཕི་ཚཱ་བཟོ་ཡི་རཱ།
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0105_1265464_to_1270442,པ་ལགས་ཕི་ཚཱ། པ་ལགས་ཕི་ཚཱ་གཅིག་མ་ཤསབཟོས་ཡོད་མ་རེད། ཨ་མ་གཞན་པ་ཕི་ཚཱ་གཉིས་ཐམ་པ་ཟོ་ཡི་རེད།  ,pa lags phi tshA/_pa lags phi tshA gcig ma shasabazos yod ma red/_a ma gzhan pa phi tshA gnyis tham pa zo yi red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0105_1265464_to_1270442.wav,STT_CS,3,88,4.978,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0105_1265464_to_1270442.wav,པ་ལགས་ཕི་ཚཱ། པ་ལགས་ཕི་ཚཱ་གཅིག་མ་ཤས་ཡོད་མ་རེད། ཨ་མ་གཞན་པ་ཕི་ཚཱ་གཉིས་གྲམ་པ་རྩེ་ཀི་རེད།
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0106_1271505_to_1277243,ཕི་ཚཱ་གཉིས། འོ། ཕི་ཚཱ་གཉིས་དེ་ད་ལྟ་བཙོ་རྒྱུ་རེད་ལྟ་དང་ལག་པ་འཆང་གྲང་མོ་གྲང་རྐྱང་རེད། འདི་ཚ་བོ་ཚ་རྐྱང་རེད། འདི།  ,phi tshA gnyis/_'o/_phi tshA gnyis de da lta btso rgyu red lta dang lag pa 'chang grang mo grang rkyang red/_'di tsha bo tsha rkyang red/_'di/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0106_1271505_to_1277243.wav,STT_CS,3,111,5.738,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0106_1271505_to_1277243.wav,ཕི་ཚཱ་། ཕི་ཚཱ་གཉིས་དེ་ཡ་ད་ལྟོས་རྒྱོ་རེད་བལྟ་དང་། ལག་པ་འཆང་བ་གྲང་པོ་གྲང་རྐྱང་རེད། འདི་ཚ་བོ་ཚ་རྐྱང་རེད་དི།
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0107_1278104_to_1280162,དང་ཤོས་དེ་ཚོ་གཉིས་ཅ་བཙོས་བཞག་དགོ ཨེ་ནས།  ,dang shos de tsho gnyis ca btsos bzhag dgo_e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0107_1278104_to_1280162.wav,STT_CS,3,41,2.058,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0107_1278104_to_1280162.wav,མ་གཤོས་དེ་ཚོ་གཉིས་ཆ་རྩོས་དུག ཨ་ནས་འདྲ་བོ
STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0108_1286946_to_1290574,ཨམ་ཅོག་ཚང་མ་སྐད་དུས་ཨོཾ་མ་ཎི་པདྨེ་ཧཱུཾ་ལབ་ཀི་འདུག་རཱ། འོ།  ,am cog tshang ma skad dus oM ma Ni pad+me hUM lab ki 'dug rA/_'o/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0108_1286946_to_1290574.wav,STT_CS,3,59,3.628,wav16k/STT_CS-L-2019_2019-M_P-D_D-B02_B02-0_0-Y_Y-01b_0108_1286946_to_1290574.wav,ཨོ་ཇ་དང་པོ་དཔེ་གོ་ཡི་འདུག ཨོཾ་མ་ཎི་པདྨེ་ཧཱུ་ལབ་ཀྱི་འདུག་རཱ།
STT_TT00058_03970.750-03971.900,སེམས་ཀི་གཏིང་ནས་ ,sems ki gting nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00058_03970.750-03971.900.wav,STT_TT,3,17,1.150000000000091,wav16k/STT_TT00058_03970.750-03971.900.wav,སེམས་ཀི་གཏིང་ནས་
STT_TT00058_03972.300-03972.900,ཨེ་ནས་ ,e nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00058_03972.300-03972.900.wav,STT_TT,3,7,0.599999999999909,wav16k/STT_TT00058_03972.300-03972.900.wav,ཨེ་ནས་
